Symbol,Series,Security Name,Band,Remarks
NAGREEKCAP,BE,NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED,5,"-"
NAMAN,ST,NAMAN IN-STORE (INDIA) LIMITED,5,"-"
NARMADA,BE,NARMADA AGROBASE LIMITED,5,"-"
NAVKARURB,BE,NAVKAR URBANSTRUCTURE LIMITED,5,"-"
NBIFIN,BE,N. B. I. INDUSTRIAL FINANCE COMPANY LIMITED,5,"-"
NEELAM,ST,NEELAM LINENS AND GARMENTS (INDIA) LIMITED,5,"-"
NEPHROCARE,SM,NEPHRO CARE INDIA LIMITED,5,"-"
NEXTMEDIA,BE,NEXT MEDIAWORKS LIMITED,5,"GSM STAGE - 0"
NGLFINE,BE,NGL FINE-CHEM LIMITED,5,"-"
NIBE,EQ,NIBE LIMITED,5,"-"
NILASPACES,BE,NILA SPACES LIMITED,5,"-"
NIRAJISPAT,EQ,NIRAJ ISPAT INDUSTRIES LIMITED,5,"-"
NIRMAN,SM,NIRMAN AGRI GENETICS LIMITED,5,"-"
NKIND,BE,NK INDUSTRIES LIMITED,5,"-"
NMSTEEL,ST,NEWMALAYALAM STEEL LIMITED,5,"-"
NURECA,BE,NURECA LIMITED,5,"-"
OBSCP,ST,OBSC PERFECTION LIMITED,5,"-"
OILCOUNTUB,EQ,OIL COUNTRY TUBULAR LIMITED,5,"-"
OMFURN,ST,OMFURN INDIA LIMITED,5,"-"
ONDOOR,ST,ON DOOR CONCEPTS LIMITED,5,"-"
ONELIFECAP,BE,ONELIFE CAPITAL ADVISORS LIMITED,5,"-"
ONYX,ST,ONYX BIOTEC LIMITED,5,"-"
ORCHPHARMA,EQ,ORCHID PHARMA LIMITED,5,"-"
ORIANA,SM,ORIANA POWER LIMITED,5,"-"
ORIENTLTD,BE,ORIENT PRESS LIMITED,5,"-"
ORIENTTECH,EQ,ORIENT TECHNOLOGIES LIMITED,5,"-"
ORTEL,BZ,ORTEL COMMUNICATIONS LIMITED,5,"GSM STAGE - II"
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,5,"-"
OSWALSEEDS,BE,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,5,"-"
PANACHE,BE,PANACHE DIGILIFE LIMITED,5,"-"
PANSARI,BE,PANSARI DEVELOPERS LIMITED,5,"-"
PAR,BE,PAR DRUGS AND CHEMICALS LIMITED,5,"-"
PARAGON,ST,PARAGON FINE AND SPECIALITY CHEMICAL LIMITED,5,"-"
PARIN,ST,PARIN ENTERPRISES LIMITED,5,"-"
PASHUPATI,ST,PASHUPATI COTSPIN LIMITED,5,"-"
PATTECH,SM,PATTECH FITWELL TUBE COMPONENTS LIMITED,5,"-"
PDMJEPAPER,EQ,PUDUMJEE PAPER PRODUCTS LIMITED,5,"-"
PELATRO,ST,PELATRO LIMITED,5,"-"
PENINLAND,BE,PENINSULA LAND LIMITED,5,"-"
PERFECT,ST,PERFECT INFRAENGINEERS LIMITED,5,"-"
PHOGLOBAL,ST,PHOENIX OVERSEAS LIMITED,5,"-"
PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,5,"-"
PIONEEREMB,BE,PIONEER EMBROIDERIES LIMITED,5,"-"
PKTEA,BE,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED,5,"-"
PNC,BE,PRITISH NANDY COMMUNICATIONS LIMITED,5,"-"
PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,5,"GSM STAGE - 0"
PRECISION,ST,PRECISION METALIKS LIMITED,5,"-"
PRECOT,BE,PRECOT LIMITED,5,"-"
PREMIER,BE,PREMIER LIMITED,5,"GSM STAGE - 0"
PRESSTONIC,ST,PRESSTONIC ENGINEERING LIMITED,5,"-"
PRITIKA,ST,PRITIKA ENGINEERING COMPONENTS LIMITED,5,"-"
PRIZOR,ST,PRIZOR VIZTECH LIMITED,5,"-"
PRUDMOULI,BE,PRUDENTIAL SUGAR CORPORATION LIMITED,5,"-"
PSRAJ,ST,P S RAJ STEELS LIMITED,5,"-"
PTCIL,EQ,PTC INDUSTRIES LIMITED,5,"-"
PULZ,SM,PULZ ELECTRONICS LIMITED,5,"-"
PURVA,EQ,PURAVANKARA LIMITED,5,"-"
QFIL,SM,QUALITY FOILS (INDIA) LIMITED,5,"-"
QUADPRO,SM,QUADPRO ITES LIMITED,5,"-"
QUICKTOUCH,ST,QUICKTOUCH TECHNOLOGIES LIMITED,5,"-"
QVCEL,ST,QVC EXPORTS LIMITED,5,"-"
RADHIKAJWE,EQ,RADHIKA JEWELTECH LIMITED,5,"-"
RAJTV,BE,RAJ TELEVISION NETWORK LIMITED,5,"-"
RAMANEWS,BE,SHREE RAMA NEWSPRINT LIMITED,5,"-"
RAPPID,ST,RAPPID VALVES (INDIA) LIMITED,5,"-"
RBMINFRA,ST,RBM INFRACON LIMITED,5,"-"
RBS,ST,RAMDEVBABA SOLVENT LIMITED,5,"-"
READYMIX,ST,READYMIX CONSTRUCTION MACHINERY LIMITED,5,"-"
REFEX,EQ,REFEX INDUSTRIES LIMITED,5,"-"
REGENCERAM,BE,REGENCY CERAMICS LIMITED,5,"GSM STAGE - 0"
REPL,BE,RUDRABHISHEK ENTERPRISES LIMITED,5,"-"
REXPIPES,SM,REX PIPES AND CABLES INDUSTRIES LIMITED,5,"-"
RHL,BE,ROBUST HOTELS LIMITED,5,"-"
RICHA,SM,RICHA INFO SYSTEMS LIMITED,5,"-"
RKEC,EQ,RKEC PROJECTS LIMITED,5,"-"
RMDRIP,ST,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,5,"-"
ROLLT,BE,ROLLATAINERS LIMITED,5,"-"
ROSSELLIND,BE,ROSSELL INDIA LIMITED,5,"-"
ROXHITECH,ST,ROX HI TECH LIMITED,5,"-"
ROYALARC,ST,ROYAL ARC ELECTRODES LIMITED,5,"-"
RPPINFRA,BE,R.P.P. INFRA PROJECTS LIMITED,5,"-"
RSSOFTWARE,BE,R. S. SOFTWARE (INDIA) LIMITED,5,"-"
RULKA,ST,RULKA ELECTRICALS LIMITED,5,"-"
RVHL,BE,RAVINDER HEIGHTS LIMITED,5,"-"
RVTH,EQ,REVATHI EQUIPMENT INDIA LIMITED,5,"-"
SABAR,ST,SABAR FLEX INDIA LIMITED,5,"-"
SADBHAV,BE,SADBHAV ENGINEERING LIMITED,5,"-"
SADHNANIQ,BE,SADHANA NITROCHEM LIMITED,5,"-"
SAGILITY,BE,SAGILITY INDIA LIMITED,5,"-"
SAHANA,ST,SAHANA SYSTEM LIMITED,5,"-"
SAHASRA,ST,SAHASRA ELECTRONIC SOLUTIONS LIMITED,5,"-"
SAIFL,ST,SAMEERA AGRO AND INFRA LIMITED,5,"-"
SAJHOTELS,ST,SAJ HOTELS LIMITED,5,"-"
SAKUMA,BE,SAKUMA EXPORTS LIMITED,5,"-"
SAMBHAAV,BE,SAMBHAAV MEDIA LIMITED,5,"-"
SAMPANN,BE,SAMPANN UTPADAN INDIA LIMITED,5,"-"
SANCO,BZ,SANCO INDUSTRIES LIMITED,5,"GSM STAGE - 0"
SARLAPOLY,BE,SARLA PERFORMANCE FIBERS LIMITED,5,"-"
SATECH,ST,S A TECH SOFTWARE INDIA LIMITED,5,"-"
SATKARTAR,SM,SAT KARTAR SHOPPING LIMITED,5,"-"
SBGLP,BE,SURATWWALA BUSINESS GROUP LIMITED,5,"-"
SDREAMS,ST,S D RETAIL LIMITED,5,"-"
SECL,ST,SALASAR EXTERIORS AND CONTOUR LIMITED,5,"-"
SEJALLTD,EQ,SEJAL GLASS LIMITED,5,"-"
SEL,ST,SUNGARNER ENERGIES LIMITED,5,"-"
SEMAC,BE,SEMAC CONSULTANTS LIMITED,5,"-"
SETCO,BE,SETCO AUTOMOTIVE LIMITED,5,"-"
SETUINFRA,BZ,SETUBANDHAN INFRASTRUCTURE LIMITED,5,"GSM STAGE - I"
SFML,ST,SUPREME FACILITY MANAGEMENT LIMITED,5,"-"
SGIL,BE,SYNERGY GREEN INDUSTRIES LIMITED,5,"-"
SHAILY,BE,SHAILY ENGINEERING PLASTICS LIMITED,5,"-"
SHAIVAL,ST,SHAIVAL REALITY LIMITED,5,"-"
SHAKTIPUMP,EQ,SHAKTI PUMPS (INDIA) LIMITED,5,"-"
SHANTHALA,ST,SHANTHALA FMCG PRODUCTS LIMITED,5,"-"
SHANTI,EQ,SHANTI OVERSEAS (INDIA) LIMITED,5,"-"
SHEKHAWATI,BE,SHEKHAWATI INDUSTRIES LIMITED,5,"-"
SHIVAUM,ST,SHIV AUM STEELS LIMITED,5,"-"
SHRADHA,BE,SHRADHA INFRAPROJECTS LIMITED,5,"-"
SHREEKARNI,ST,SHREE KARNI FABCOM LIMITED,5,"-"
SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,5,"-"
SHUBHLAXMI,ST,SHUBHLAXMI JEWEL ART LIMITED,5,"-"
SHUBHSHREE,ST,SHUBHSHREE BIOFUELS ENERGY LIMITED,5,"-"
SHYAMTEL,BE,SHYAM TELECOM LIMITED,5,"GSM STAGE - 0"
SICALLOG,BE,SICAL LOGISTICS LIMITED,5,"-"
SIDDHIKA,ST,SIDDHIKA COATINGS LIMITED,5,"-"
SIGNORIA,ST,SIGNORIA CREATION LIMITED,5,"-"
SIGNPOST,BE,SIGNPOST INDIA LIMITED,5,"-"
SILKFLEX,SM,SILKFLEX POLYMERS (INDIA) LIMITED,5,"-"
SILLYMONKS,EQ,SILLY MONKS ENTERTAINMENT LIMITED,5,"GSM STAGE - 0"
SIMBHALS,BE,SIMBHAOLI SUGARS LIMITED,5,"-"
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES LIMITED,5,"-"
SIYSIL,EQ,SIYARAM SILK MILLS LIMITED,5,"-"
SKYGOLD,BE,SKY GOLD LIMITED,5,"-"
SLONE,ST,SLONE INFOSYSTEMS LIMITED,5,"-"
SMARTLINK,EQ,SMARTLINK HOLDINGS LIMITED,5,"-"
SMSLIFE,BE,SMS LIFESCIENCES INDIA LIMITED,5,"-"
SMVD,SM,SMVD POLY PACK LIMITED,5,"-"
SOFTTECH,BE,SOFTTECH ENGINEERS LIMITED,5,"-"
SOLARA,EQ,SOLARA ACTIVE PHARMA SCIENCES LIMITED,5,"-"
SOLARAPP,E1,SOLARA ACTIVE PHARMA SCIENCES LIMITED,5,"-"
SOLEX,ST,SOLEX ENERGY LIMITED,5,"-"
SOMATEX,BE,SOMA TEXTILES & INDUSTRIES LIMITED,5,"-"
SONAMAC,ST,SONA MACHINERY LIMITED,5,"-"
SONUINFRA,ST,SONU INFRATECH LIMITED,5,"-"
SOTAC,SM,SOTAC PHARMACEUTICALS LIMITED,5,"-"
SPCL,ST,SHIVALIC POWER CONTROL LIMITED,5,"-"
SPMLINFRA,BE,SPML INFRA LIMITED,5,"-"
SPPPOLY,ST,SPP POLYMER LIMITED,5,"-"
SPRL,SM,SP REFRACTORIES LIMITED,5,"-"
SRM,BE,SRM CONTRACTORS LIMITED,5,"-"
SSFL,SM,SRIVARI SPICES AND FOODS LIMITED,5,"-"
S&SPOWER,EQ,S&S POWER SWITCHGEARS LIMITED,5,"-"
SUMIT,EQ,SUMIT WOODS LIMITED,5,"-"
SUNDRMBRAK,BE,SUNDARAM BRAKE LININGS LIMITED,5,"-"
SUNFLAG,BE,SUNFLAG IRON AND STEEL COMPANY LIMITED,5,"-"
SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,5,"GSM STAGE - 0"
SUPREMEPWR,ST,SUPREME POWER EQUIPMENT LIMITED,5,"-"
SURANI,ST,SURANI STEEL TUBES LIMITED,5,"-"
SUULD,BZ,SUUMAYA INDUSTRIES LIMITED,5,"-"
SVLL,BE,SHREE VASU LOGISTICS LIMITED,5,"-"
TAC,ST,TAC INFOSEC LIMITED,5,"-"
TAKE,BZ,TAKE SOLUTIONS LIMITED,5,"-"
TAPIFRUIT,SM,TAPI FRUIT PROCESSING LIMITED,5,"-"
TARACHAND,BE,TARA CHAND INFRALOGISTIC SOLUTIONS LIMITED,5,"-"
TARC,EQ,TARC LIMITED,5,"-"
TBZ,EQ,TRIBHOVANDAS BHIMJI ZAVERI LIMITED,5,"-"
TCIFINANCE,BE,TCI FINANCE LIMITED,5,"GSM STAGE - 0"
TECHLABS,ST,TRIDENT TECHLABS LIMITED,5,"-"
TEJASCARGO,ST,TEJAS CARGO INDIA LIMITED,5,"-"
TERASOFT,BE,TERA SOFTWARE LIMITED,5,"-"
TFL,BE,TRANSWARRANTY FINANCE LIMITED,5,"-"
TGL,ST,TEERTH GOPICON LIMITED,5,"-"
THESL,ST,THINKING HATS ENTERTAINMENT SOLUTIONS LIMITED,5,"-"
TIJARIA,BE,TIJARIA POLYPIPES LIMITED,5,"GSM STAGE - 0"
TIL,EQ,TIL LIMITED,5,"-"
TIMESCAN,SM,TIMESCAN LOGISTICS (INDIA) LIMITED,5,"-"
TIMESGTY,BE,TIMES GUARANTY LIMITED,5,"-"
TIPSFILMS,BE,TIPS FILMS LIMITED,5,"-"
TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,5,"-"
TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,5,"GSM STAGE - 0"
TOUCHWOOD,BE,TOUCHWOOD ENTERTAINMENT LIMITED,5,"-"
TPHQ,BE,TEAMO PRODUCTIONS HQ LIMITED,5,"-"
TRANSTEEL,ST,TRANSTEEL SEATING TECHNOLOGIES LIMITED,5,"-"
TRANSWIND,SM,TRANSWIND INFRASTRUCTURES LIMITED,5,"-"
TRU,BE,TRUCAP FINANCE LIMITED,5,"-"
TRUST,ST,TRUST FINTECH LIMITED,5,"-"
TTL,BE,T T LIMITED,5,"-"
UCAL,BE,UCAL LIMITED,5,"-"
UHTL,ST,UNITED HEAT TRANSFER LIMITED,5,"-"
UMANGDAIRY,BE,UMANG DAIRIES LIMITED,5,"-"
UMESLTD,EQ,USHA MARTIN EDUCATION & SOLUTIONS LIMITED,5,"GSM STAGE - 0"
UNITECH,BZ,UNITECH LIMITED,5,"-"
UNIVASTU,BE,UNIVASTU INDIA LIMITED,5,"-"
UNIVPHOTO,BE,UNIVERSUS PHOTO IMAGINGS LIMITED,5,"-"
URBAN,SM,URBAN ENVIRO WASTE MANAGEMENT LIMITED,5,"-"
UWCSL,ST,ULTRA WIRING CONNECTIVITY SYSTEM LIMITED,5,"-"
V2RETAIL,BE,V2 RETAIL LIMITED,5,"-"
VAKRANGEE,EQ,VAKRANGEE LIMITED,5,"-"
VARDMNPOLY,BE,VARDHMAN POLYTEX LIMITED,5,"-"
VASA,ST,VASA RETAIL AND OVERSEAS LTD,5,"-"
VEEKAYEM,ST,VEEKAYEM FASHION AND APPARELS LIMITED,5,"-"
VELS,ST,VELS FILM INTERNATIONAL LIMITED,5,"-"
VERA,ST,VERA SYNTHETIC LIMITED,5,"-"
VERITAAS,SM,VERITAAS ADVERTISING LIMITED,5,"-"
VERTEXPLUS,SM,VERTEXPLUS TECHNOLOGIES LIMITED,5,"-"
VERTOZ,BE,VERTOZ LIMITED,5,"-"
VHLTD,BE,VICEROY HOTELS LIMITED,5,"-"
VIAZ,SM,VIAZ TYRES LIMITED,5,"-"
VINNY,BE,VINNY OVERSEAS LIMITED,5,"-"
VINYAS,SM,VINYAS INNOVATIVE TECHNOLOGIES LIMITED,5,"-"
VIPULLTD,BE,VIPUL LIMITED,5,"-"
VIVIANA,ST,VIVIANA POWER TECH LIMITED,5,"-"
VIVO,SM,VIVO COLLABORATION SOLUTIONS LIMITED,5,"-"
VLEGOV,BE,VL E GOVERNANCE & IT SOLUTIONS LIMITED,5,"-"
VLINFRA,ST,V.L.INFRAPROJECTS LIMITED,5,"-"
VMARCIND,ST,V MARC INDIA LIMITED,5,"-"
VOLERCAR,ST,VOLER CAR LIMITED,5,"-"
VR,ST,V R INFRASPACE LIMITED,5,"-"
VSCL,ST,VADIVARHE SPECIALITY CHEMICALS LIMITED,5,"-"
WALCHANNAG,EQ,WALCHANDNAGAR INDUSTRIES LIMITED,5,"-"
WALPAR,SM,WALPAR NUTRITIONS LIMITED,5,"-"
WEALTH,BE,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,5,"-"
WEBELSOLAR,BE,WEBSOL ENERGY SYSTEM LIMITED,5,"-"
WINDMACHIN,EQ,WINDSOR MACHINES LIMITED,5,"-"
WINNY,ST,WINNY IMMIGRATION & EDUCATION SERVICES LIMITED,5,"-"
WIPL,BE,THE WESTERN INDIA PLYWOODS LIMITED,5,"-"
WOCKPHARMA,EQ,WOCKHARDT LIMITED,5,"-"
WOMANCART,ST,WOMANCART LIMITED,5,"-"
WSI,BE,W S INDUSTRIES (I) LIMITED,5,"-"
YAARI,BE,YAARI DIGITAL INTEGRATED SERVICES LIMITED,5,"GSM STAGE - II"
YUDIZ,SM,YUDIZ SOLUTIONS LIMITED,5,"-"
ZAGGLE,EQ,ZAGGLE PREPAID OCEAN SERVICES LIMITED,5,"-"
ZENITHDRUG,ST,ZENITH DRUGS LIMITED,5,"-"
ZENITHEXPO,BE,ZENITH EXPORTS LIMITED,5,"-"
ZTECH,ST,Z-TECH (INDIA) LIMITED,5,"-"
AADHARHFC,EQ,AADHAR HOUSING FINANCE LIMITED,10,"-"
AAREYDRUGS,EQ,AAREY DRUGS & PHARMACEUTICALS LIMITED,10,"-"
AARTISURF,EQ,AARTI SURFACTANTS LIMITED,10,"-"
ABDL,EQ,ALLIED BLENDERS AND DISTILLERS LIMITED,10,"-"
ACL,EQ,ANDHRA CEMENTS LIMITED,10,"-"
ADL,EQ,ARCHIDPLY DECOR LIMITED,10,"-"
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,10,"-"
AETHER,EQ,AETHER INDUSTRIES LIMITED,10,"-"
AIMTRON,SM,AIMTRON ELECTRONICS LIMITED,10,"-"
AJAXENGG,EQ,AJAX ENGINEERING LIMITED,10,"-"
AJOONI,EQ,AJOONI BIOTECH LIMITED,10,"-"
AKUMS,EQ,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,10,"-"
ALUWIND,SM,ALUWIND ARCHITECTURAL LIMITED,10,"-"
ANANTRAJ,EQ,ANANT RAJ LIMITED,10,"-"
ANIKINDS,EQ,ANIK INDUSTRIES LIMITED,10,"-"
ANLON,SM,ANLON TECHNOLOGY SOLUTIONS LIMITED,10,"-"
APARINDS,EQ,APAR INDUSTRIES LIMITED,10,"-"
APS,SM,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,10,"-"
ARCHIES,EQ,ARCHIES LIMITED,10,"-"
ASKAUTOLTD,EQ,ASK AUTOMOTIVE LIMITED,10,"-"
ASMS,EQ,BARTRONICS INDIA LIMITED,10,"-"
AWL,EQ,ADANI WILMAR LIMITED,10,"-"
BAHETI,SM,BAHETI RECYCLING INDUSTRIES LIMITED,10,"-"
BAJAJHFL,EQ,BAJAJ HOUSING FINANCE LIMITED,10,"-"
BANSALWIRE,EQ,BANSAL WIRE INDUSTRIES LIMITED,10,"-"
BINANIIND,EQ,BINANI INDUSTRIES LIMITED,10,"-"
CANARYS,SM,CANARYS AUTOMATIONS LIMITED,10,"-"
CARRARO,EQ,CARRARO INDIA LIMITED,10,"-"
CCHHL,EQ,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,10,"-"
CEIGALL,EQ,CEIGALL INDIA LIMITED,10,"-"
CELLECOR,SM,CELLECOR GADGETS LIMITED,10,"-"
CEWATER,EQ,CONCORD ENVIRO SYSTEMS LIMITED,10,"-"
CMNL,SM,CHAMAN METALLICS LIMITED,10,"-"
COCHINSHIP,EQ,COCHIN SHIPYARD LIMITED,10,"-"
CROWN,EQ,CROWN LIFTERS LIMITED,10,"-"
DCG,SM,DCG CABLES & WIRES LIMITED,10,"-"
DECCANCE,EQ,DECCAN CEMENTS LIMITED,10,"-"
DEEDEV,EQ,DEE DEVELOPMENT ENGINEERS LIMITED,10,"-"
DENEERS,SM,DE NEERS TOOLS LIMITED,10,"-"
DUCOL,SM,DUCOL ORGANICS AND COLOURS LIMITED,10,"-"
DYNPRO,EQ,DYNEMIC PRODUCTS LIMITED,10,"-"
EMCURE,EQ,EMCURE PHARMACEUTICALS LIMITED,10,"-"
EXCELINDUS,EQ,EXCEL INDUSTRIES LIMITED,10,"-"
FELIX,SM,FELIX INDUSTRIES LIMITED,10,"-"
FIBERWEB,EQ,FIBERWEB (INDIA) LIMITED,10,"-"
FLAIR,EQ,FLAIR WRITING INDUSTRIES LIMITED,10,"-"
GENUSPOWER,EQ,GENUS POWER INFRASTRUCTURES LIMITED,10,"-"
GODREJIND,EQ,GODREJ INDUSTRIES LIMITED,10,"-"
GOPAL,EQ,GOPAL SNACKS LIMITED,10,"-"
GROBTEA,EQ,THE GROB TEA COMPANY LIMITED,10,"-"
GRPLTD,EQ,GRP LIMITED,10,"-"
GUJAPOLLO,EQ,GUJARAT APOLLO INDUSTRIES LIMITED,10,"-"
GVPTECH,EQ,GVP INFOTECH LIMITED,10,"-"
HAPPYFORGE,EQ,HAPPY FORGINGS LIMITED,10,"-"
HAVISHA,EQ,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,10,"-"
HCL-INSYS,EQ,HCL INFOSYSTEMS LIMITED,10,"GSM STAGE - 0"
HERCULES,EQ,HERCULES HOISTS LIMITED,10,"-"
HIRECT,EQ,HIND RECTIFIERS LIMITED,10,"-"
HMAAGRO,EQ,HMA AGRO INDUSTRIES LIMITED,10,"-"
HOVS,EQ,HOV SERVICES LIMITED,10,"-"
HYUNDAI,EQ,HYUNDAI MOTOR INDIA LIMITED,10,"-"
IGIL,EQ,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,10,"-"
INSPIRISYS,EQ,INSPIRISYS SOLUTIONS LIMITED,10,"-"
IWEL,EQ,INOX WIND ENERGY LIMITED,10,"-"
JSWINFRA,EQ,JSW INFRASTRUCTURE LIMITED,10,"-"
JUNIPER,EQ,JUNIPER HOTELS LIMITED,10,"-"
KARMAENG,EQ,KARMA ENERGY LIMITED,10,"-"
KAUSHALYA,EQ,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,10,"-"
KAYA,EQ,KAYA LIMITED,10,"-"
KDDL,EQ,KDDL LIMITED,10,"-"
KHAITANLTD,EQ,KHAITAN (INDIA) LIMITED,10,"-"
KRISHNADEF,SM,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED,10,"-"
MKPL,EQ,M K PROTEINS LIMITED,10,"-"
MODIRUBBER,EQ,MODI RUBBER LIMITED,10,"-"
MOTISONS,EQ,MOTISONS JEWELLERS LIMITED,10,"-"
NAMOEWASTE,SM,NAMO EWASTE MANAGEMENT LIMITED,10,"-"
NATCOPHARM,EQ,NATCO PHARMA LIMITED,10,"-"
NDGL,EQ,NAGA DHUNSERI GROUP LIMITED,10,"-"
NECLIFE,EQ,NECTAR LIFESCIENCES LIMITED,10,"-"
NETWEB,EQ,NETWEB TECHNOLOGIES INDIA LIMITED,10,"-"
NITIRAJ,EQ,NITIRAJ ENGINEERS LIMITED,10,"-"
OPTIEMUS,EQ,OPTIEMUS INFRACOM LIMITED,10,"-"
ORIENTALTL,EQ,ORIENTAL TRIMEX LIMITED,10,"-"
ORTINGLOBE,EQ,ORTIN GLOBAL LIMITED,10,"GSM STAGE - 0"
PANACEABIO,EQ,PANACEA BIOTEC LIMITED,10,"-"
PARASPETRO,EQ,PARAS PETROFILS LIMITED,10,"-"
PCJEWELLER,EQ,PC JEWELLER LIMITED,10,"-"
PHANTOMFX,SM,PHANTOM DIGITAL EFFECTS LIMITED,10,"-"
PIXTRANS,EQ,PIX TRANSMISSIONS LIMITED,10,"-"
PNGJL,EQ,P N GADGIL JEWELLERS LIMITED,10,"-"
POCL,EQ,PONDY OXIDES & CHEMICALS LIMITED,10,"-"
PRAMARA,SM,PRAMARA PROMOTIONS LIMITED,10,"-"
PREMIERPOL,EQ,PREMIER POLYFILM LIMITED,10,"-"
PROLIFE,SM,PROLIFE INDUSTRIES LIMITED,10,"-"
RELTD,EQ,RAVINDRA ENERGY LIMITED,10,"-"
RETAIL,EQ,JHS SVENDGAARD RETAIL VENTURES LIMITED,10,"-"
RILINFRA,SM,RACHANA INFRASTRUCTURE LIMITED,10,"-"
RKDL,EQ,RAVI KUMAR DISTILLERIES LIMITED,10,"-"
RUSTOMJEE,EQ,KEYSTONE REALTORS LIMITED,10,"-"
SADBHIN,EQ,SADBHAV INFRASTRUCTURE PROJECT LIMITED,10,"GSM STAGE - 0"
SAGARDEEP,EQ,SAGARDEEP ALLOYS LIMITED,10,"-"
SANATHAN,EQ,SANATHAN TEXTILES LIMITED,10,"-"
SANGANI,SM,SANGANI HOSPITALS LIMITED,10,"-"
SECMARK,EQ,SECMARK CONSULTANCY LIMITED,10,"-"
SECURKLOUD,EQ,SECUREKLOUD TECHNOLOGIES LIMITED,10,"GSM STAGE - 0"
SELMC,EQ,SEL MANUFACTURING COMPANY LIMITED,10,"-"
SENCO,EQ,SENCO GOLD LIMITED,10,"-"
SEQUENT,EQ,SEQUENT SCIENTIFIC LIMITED,10,"-"
SERVOTECH,EQ,SERVOTECH RENEWABLE POWER SYSTEM LIMITED,10,"-"
SGL,EQ,STL GLOBAL LIMITED,10,"-"
SHAH,EQ,SHAH METACORP LIMITED,10,"-"
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,10,"-"
SHALPAINTS,EQ,SHALIMAR PAINTS LIMITED,10,"-"
SHRENIK,EQ,SHRENIK LIMITED,10,"GSM STAGE - 0"
SILGO,EQ,SILGO RETAIL LIMITED,10,"-"
SILINV,EQ,SIL INVESTMENTS LIMITED,10,"-"
SOUTHWEST,EQ,SOUTH WEST PINNACLE EXPLORATION LIMITED,10,"-"
SPANDANA,EQ,SPANDANA SPHOORTY FINANCIAL LIMITED,10,"-"
SPECTSTM,SM,SPECTRUM TALENT MANAGEMENT LIMITED,10,"-"
SRD,EQ,SHANKAR LAL RAMPAL DYE-CHEM LIMITED,10,"-"
SUPERSPIN,EQ,SUPER SPINNING MILLS LIMITED,10,"-"
SUPREME,EQ,SUPREME HOLDINGS & HOSPITALITY (INDIA) LIMITED,10,"-"
SURAJLTD,EQ,SURAJ LIMITED,10,"-"
SURANASOL,EQ,SURANA SOLAR LIMITED,10,"-"
SUZLON,EQ,SUZLON ENERGY LIMITED,10,"-"
SWSOLAR,EQ,STERLING AND WILSON RENEWABLE ENERGY LIMITED,10,"-"
TARIL,EQ,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,10,"-"
TBI,SM,TBI CORN LIMITED,10,"-"
TECILCHEM,EQ,TECIL CHEMICALS AND HYDRO POWER LIMITED,10,"GSM STAGE - 0"
TI,EQ,TILAKNAGAR INDUSTRIES LIMITED,10,"-"
TICL,EQ,TWAMEV CONSTRUCTION AND INFRASTRUCTURE LIMITED,10,"-"
TIRUPATI,SM,SHREE TIRUPATI BALAJEE FIBC LIMITED,10,"-"
TREEHOUSE,EQ,TREE HOUSE EDUCATION & ACCESSORIES LIMITED,10,"-"
TREJHARA,EQ,TREJHARA SOLUTIONS LIMITED,10,"-"
UNIMECH,EQ,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,10,"-"
UNITEDPOLY,EQ,UNITED POLYFAB GUJARAT LIMITED,10,"-"
VENTIVE,EQ,VENTIVE HOSPITALITY LIMITED,10,"-"
VILAS,SM,VILAS TRANSCORE LIMITED,10,"-"
VMM,EQ,VISHAL MEGA MART LIMITED,10,"-"
WEWIN,EQ,WE WIN LIMITED,10,"-"
WHIRLPOOL,EQ,WHIRLPOOL OF INDIA LIMITED,10,"-"
XELPMOC,EQ,XELPMOC DESIGN AND TECH LIMITED,10,"-"
ZEEMEDIA,EQ,ZEE MEDIA CORPORATION LIMITED,10,"-"
